mariachi,"is a genre of regional Mexican music that dates back to at least the 18th century, evolving over time in the countryside of various regions of western Mexico.",,,,,,,,,,,,
nuevo regional mexicano,"this groups genres such as mariachi, banda sinaloense, norteno, norteno-banda, norteno-sax, sierreno, sierreno-banda, jarocho, huasteco, huichol, large harp, conjunto calentano, marimba chiapaneca and jarana yucateca",,,,,,,,,,,,
ranchera,genre of traditional music of Mexico. It dates to before the years of the Mexican Revolution,,,,,,,,,,,,
regional mexican,"is a Latin music radio format encompassing the musical genres from the various parts of rural Mexico and the Southwestern United States. Genres include banda, country en español, Duranguense, grupero, mariachi, New Mexico music, Norteno, Tejano, Tierra Caliente and others",,,,,,,,,,,,
bolero,"is a genre of song which originated in eastern Cuba in the late 19th century as part of the trova tradition. Unrelated to the older Spanish dance of the same name, bolero is characterized by sophisticated lyrics dealing with love.",,,,,,,,,,,,
cancion melodica,"is a genre of Spanish-language popular music typically defined by sentimental ballads with light, orchestral arrangements.",,,,,,,,,,,,
nueva cancion,"is a left-wing social movement and musical genre in Latin America and the Iberian peninsula, characterized by folk-inspired styles and socially committed lyrics. Nueva canción is widely recognized to have played a profound role in the pro-democracy social upheavals in Portugal, Spain and Latin America during the 1970s and 1980s, and was popular amongst socialist organizations in the region.",,,,,,,,,,,,
velha guarda,"was often considered a lesser genre, inferior to the more sophisticated bossa nova and MPB music of the period.",,,,,,,,,,,,
colombian pop,"is a music genre that developed in Colombia in the late 1990s and early 2000s. It is a blend of traditional musical forms of the Caribbean Region of Colombia, mainly vallenato, with foreign Latin genres such as salsa and merengue, and pop and pop rock.",,,,,,,,,,,,
rock en espanol,"borrows heavily from rock and roll music and traditional and popular music of Spanish-speaking countries such as cumbia, ranchera, rumba, and tango. In its 50-year history, it has evolved from having a cult-like following to being a more well established music genre.",,,,,,,,,,,,
permanent wave,is its own genre with a massive variety of artists who encapsulate that sound and apparently are going to do it forever.,,,,,,,,,,,,
pop romantico,is a genre of popular music originated in its modern form during the mid-1950s in pop songs typically focus on simple themes- often love and romantic,,,,,,,,,,,,
,,,,,,,,,,,,,
content:Artist,,,,,,,,,,,,,
artist_name,artist_website,,,,,,,,,,,,
Andrew Lloyd Webber,www.andrewlloydwebber.com,,,,,,,,,,,,
Weird Al Yankovic,weirdal.com,,,,,,,,,,,,
$atori Zoom,https://soundcloud.com/satorizoom,,,,,,,,,,,,
$tupid Young,https://en.everybodywiki.com/$tupid_Young,,,,,,,,,,,,
Til Tuesday,https://open.spotify.com/artist/1L0y9srZMyh9XUnYGv37IP,,,,,,,,,,,,
*NSYNC,https://nsync.com/,,,,,,,,,,,,
3 Doors Down,https://www.3doorsdown.com/,,,,,,,,,,,,
Animotion,https://animotion-obsession.com/,,,,,,,,,,,,
Belinda Carlisle,http://belindacarlisle.50webs.com/,,,,,,,,,,,,
Blondie,https://www.blondie.net/,,,,,,,,,,,,
Adele,https://www.adele.com/,,,,,,,,,,,,
ABBA,https://abbasite.com/,,,,,,,,,,,,
Ace of Base,http://aceofbase.com/,,,,,,,,,,,,
Acapulco Tropical,https://open.spotify.com/artist/0vKkGPDKU0roxUUyzXMjIG,,,,,,,,,,,,
Alberto Vazquez,https://en.wikipedia.org/wiki/Alberto_V%C3%A1zquez_(singer),,,,,,,,,,,,
Angelica Maria,www.angelicamaria.com.mx,,,,,,,,,,,,
Amy Adams,https://www.imdb.com/name/nm0010736/,,,,,,,,,,,,
Cast - Frozen,https://www.imdb.com/title/tt2294629/,,,,,,,,,,,,
Andrea Bocelli,https://www.andreabocelli.com/,,,,,,,,,,,,
Coldplay,https://www.coldplay.com/homepage/,,,,,,,,,,,,
Aqua,https://www.aquaofficial.com/,,,,,,,,,,,,
